#OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,BCU1_2,BCU1_3,BCU2_1,BCU2_2,BCU3_1,BCU3_3,BCU4_1,BCU4_2,BCU4_3,BCW1_1,BCW1_2,BCW1_3,BCW2_1,BCW2_2,BCW2_3,BCW3_1,BCW3_2,BCW3_3,BCW4_1,BCW4_2,BCW4_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,SCK_1,SCK_2,SCK_3
OTU2096,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2097,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2098,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,0,0,8,0,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
OTU2099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,15,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU21,73,7,79,0,2,1,0,1,0,1,0,0,88,128,257,72,45,57,14,4,5,186,7,135,94,24,122,19,7,10,158,147,3,221,24,38,277,188,65,17,7,19,34,15,4,81,2,61
OTU210,4,3,2,10,7,1,5,10,0,1,1,3,0,1,0,0,5,4,0,1,1,0,0,2,0,0,12,0,1,0,1,0,2,18,4,3,19,3,31,29,22,21,3,34,27,5,1,4
OTU2100,4,1,5,0,0,2,0,0,0,0,0,0,1,1,0,6,1,0,1,1,0,0,0,2,0,4,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,4,1,4
OTU2101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,0,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0
OTU2102,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,10,1,1,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0
OTU2103,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
OTU2104,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,3,0,0,7,5,2,0,0,0,0,0,1,0,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
OTU2105,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,1,3,0,0,0,0,4,0,5,4,0,0,3,1,0,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0
OTU2106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2107,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,10,0,0,2,7,0,0,0,1,1,0,0,2,5,2,1,0,0,0,0,0,0,0,2,0
OTU2108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU2109,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,1,0,0,0,0,10,7,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
OTU211,0,5,6,15,113,182,41,170,43,26,0,8,2,8,2,5,1,0,0,5,17,0,1,7,1,0,7,0,10,1,0,4,2,4,4,30,6,1,1,3,1,2,0,17,27,2,11,3
OTU2110,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,1,3,0,0,1,0,0,0,0,3,4,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0
OTU2111,0,0,0,3,2,0,0,2,1,1,1,1,2,0,1,0,1,1,3,2,0,2,4,2,0,0,0,0,1,0,5,1,1,0,1,3,0,1,1,1,5,0,0,0,0,0,0,0
OTU2112,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,4,0,1,3,0,5,0
OTU2113,3,6,0,0,0,1,0,5,4,1,5,0,3,6,10,1,6,0,0,3,0,0,1,4,10,3,1,2,1,6,2,2,2,1,3,2,6,4,0,4,0,0,5,1,1,4,4,2
OTU2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,3,1,3,0,0,0,0,0,0,0
OTU2115,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
OTU2116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
