#OTU ID,Domain,Phylum,Class,Order,Family,Genus,Species
OTU1152,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,,
OTU1153,Bacteria,TM6,TM6_c,Babela_o,DQ395404_f,EU135361_g,
OTU1154,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizomicrobium_f,Rhizomicrobium,
OTU1155,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,HQ674900_f,DQ450721_g,DQ450721_s
OTU1156,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,KB906767_g,
OTU1157,Bacteria,Latescibacteria_WS3,Latescibacter_c,AM991194_o,AM991194_f,AM991194_g,
OTU1158,Bacteria,Actinobacteria,Actinobacteria_c,FJ478799_o,FJ478799_f,FJ478799_g,
OTU1159,Eukarya,Xanthophyceae,Vaucheriales_c,Vaucheriales,Vaucheriaceae,Vaucheria,
OTU116,Bacteria,Cyanobacteria,JF737898_c,JF737898_o,JF737898_f,JF737898_g,
OTU1160,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Pirellula,
OTU1161,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,
OTU1162,Bacteria,Actinobacteria,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,
OTU1163,Bacteria,Proteobacteria,Deltaproteobacteria,FM253572_o,FM253572_f,FJ478706_g,
OTU1164,Bacteria,Acidobacteria,CP015136_c,CP015136_o,CP015136_f,GU260705_g,
OTU1165,Bacteria,Cyanobacteria,JF737898_c,JF737898_o,JF737898_f,JF737898_g,
OTU1166,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,EU881125_g,
OTU1167,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Koribacter,
OTU1168,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,FJ889281_f,FJ889281_g,
OTU1169,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Tepidisphaeraceae,Tepidisphaera,
OTU117,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizomicrobium_f,Rhizomicrobium,
OTU1170,Bacteria,Actinobacteria,Actinobacteria_c,Streptosporangiales,AF498716_f,EU861937_g,
OTU1171,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,HQ674860_g,
OTU1172,Bacteria,Planctomycetes,DQ228400_c,DQ228400_o,DQ228400_f,DQ228400_g,
OTU1173,Unassigned,,,,,,
OTU1174,Bacteria,Planctomycetes,Brocadia_c,Brocadiales,EU881130_f,EU881130_g,
OTU1175,Bacteria,Chloroflexi,HM748667_c,HM748667_o,HM748667_f,HQ910310_g,HQ910310_s
OTU1176,Unassigned,,,,,,
OTU1177,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,,
OTU1178,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Thioalkalispiraceae,Thioprofundum,
OTU1179,Bacteria,Acidobacteria,HM185886_c,HM185886_o,HM185886_f,GU127807_g,
OTU118,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,KB906767_g,
OTU1180,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AY945895_f,AY945895_g,
OTU1181,Bacteria,Armatimonadetes,FJ479425_c,JF319233_o,JF319233_f,GQ397023_g,
OTU1182,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,AM180160_g,
OTU1183,Bacteria,Chloroflexi,GQ396871_c,GQ396871_o,GQ396871_f,GQ396871_g,
OTU1184,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,,
OTU1185,Bacteria,Proteobacteria,Deltaproteobacteria,FM253572_o,EU335336_f,EU335336_g,
OTU1186,Eukarya,Chlorophyta,Trebouxiophyceae,Coccomyxa_o,Coccomyxa_f,Coccomyxa,
OTU1187,Bacteria,Planctomycetes,DQ228400_c,DQ228400_o,DQ228400_f,DQ228400_g,
OTU1188,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,GQ263856_g,
OTU1189,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,FN428761_g,
OTU119,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizomicrobium_f,Rhizomicrobium,
OTU1190,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,
OTU1191,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,Gemmata,
OTU1192,Bacteria,Armatimonadetes,FJ479425_c,JF319233_o,JF319233_f,GQ397023_g,
OTU1193,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,FJ889281_f,FJ889281_g,
OTU1194,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,GU127727_g,
OTU1195,Eukarya,Chlorophyta,Trebouxiophyceae,Chlorellales,,,
