#OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,BCU1_2,BCU1_3,BCU2_1,BCU2_2,BCU3_1,BCU3_3,BCU4_1,BCU4_2,BCU4_3,BCW1_1,BCW1_2,BCW1_3,BCW2_1,BCW2_2,BCW2_3,BCW3_1,BCW3_2,BCW3_3,BCW4_1,BCW4_2,BCW4_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,SCK_1,SCK_2,SCK_3,taxonomy
OTU4989,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Bacteria;Proteobacteria;Deltaproteobacteria;EU861868_o;EU861868_f;EU861868_g
OTU499,4,1,5,1,0,0,0,0,0,1,6,0,4,18,10,8,21,5,26,15,1,15,7,9,8,16,11,15,0,6,2,6,3,10,4,8,13,8,9,3,5,1,3,0,0,1,0,15,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Labilithrix
OTU4990,3,1,1,39,22,18,9,10,3,14,2,9,36,1,0,1,1,4,0,9,0,3,28,0,0,0,1,0,9,1,3,1,5,1,3,3,1,0,2,3,1,1,2,1,0,4,3,4,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizomicrobium_f;Rhizomicrobium
OTU4991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;FJ466216_g
OTU4992,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;EU589314_f;EU283371_g
OTU4993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,Bacteria;Chloroflexi;JQ738915_c;JQ738915_o;JQ738915_f;JQ738915_g;JQ738915_s
OTU4994,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;EF516012_g;EF516012_s
OTU4995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Chloroflexi;HM748667_c;HM748667_o;EU134230_f;EU134230_g;EU134230_s
OTU4996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Bacteria;Armatimonadetes;EU289437_c;EU289437_o;EU289437_f;EU289437_g
OTU4997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Saccharibacteria_TM7;Saccharimonas_c;Saccharimonas_o;JF421159_f;JF421159_g;EU135365_s
